metabolite,shap_mean_abs,shap_rank,log2fc,effect_size,p_value,abs_log2fc,fc_rank,p_adjusted,neg_log10_p,pval_rank,combined_score,final_rank
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",0.0023191489361702,70.5,6.214020596632132,-16.47643604224467,0.1176470588235294,6.214020596632132,42.0,0.1666169005673335,0.7782809486022882,60.5,57.666666666666664,65
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0033191489361702,32.0,5.377902687887497,-14.749258947664488,0.1176470588235294,5.377902687887497,81.0,0.1666169005673335,0.7782809486022882,60.5,57.833333333333336,66
1-Pentadecene,0.0026382978723404,47.0,5.701263722116593,-14.457929699445122,0.1176470588235294,5.701263722116593,66.0,0.1666169005673335,0.7782809486022882,60.5,57.833333333333336,67
"2-Decenal, (E)-",0.004,18.0,4.995176236572125,-3.402704115074358,0.1176470588235294,4.995176236572125,97.0,0.1666169005673335,0.7782809486022882,60.5,58.5,68
"Butanal, 2-methyl-",0.0014193548387096,113.0,-24.950140365223326,-0.0571045332490057,0.1176470588235294,24.950140365223326,2.0,0.1666169005673335,0.7782809486022882,60.5,58.5,69
2-Butanone,0.0014838709677419,107.5,8.587881108888745,-3.130890768652651,0.1176470588235294,8.587881108888745,9.0,0.1666169005673335,0.7782809486022882,60.5,59.0,70
1-Pentadecene,0.0029677419354838,41.0,5.498330197610489,-7.924872012249568,0.1176470588235294,5.498330197610489,76.0,0.1666169005673335,0.7782809486022882,60.5,59.166666666666664,71
2-Tetradecanone,0.0033191489361702,32.0,5.247135474015647,-7.65434024839978,0.1176470588235294,5.247135474015647,85.0,0.1666169005673335,0.7782809486022882,60.5,59.166666666666664,72
Pentadecane,0.0043191489361702,13.0,4.748414407212935,-7.223792192026661,0.1176470588235294,4.748414407212935,106.0,0.1666169005673335,0.7782809486022882,60.5,59.833333333333336,73
"Butanal, 3-methyl-",0.0014193548387096,113.0,8.661633520137054,0.1444515682846584,0.1176470588235294,8.661633520137054,8.0,0.1666169005673335,0.7782809486022882,60.5,60.5,74
2-Hexadecanone,0.0024838709677419,53.5,5.62803353268266,-11.414193401760484,0.1176470588235294,5.62803353268266,69.0,0.1666169005673335,0.7782809486022882,60.5,61.0,75
1-Pentadecene,0.0026382978723404,47.0,5.498330197610489,-7.924872012249568,0.1176470588235294,5.498330197610489,76.0,0.1666169005673335,0.7782809486022882,60.5,61.166666666666664,76
"2,3-Pentanedione",0.0045844155844155,10.0,4.48770715370372,-4.796478860431851,0.1176470588235294,4.48770715370372,113.0,0.1666169005673335,0.7782809486022882,60.5,61.166666666666664,77
"Benzeneacetaldehyde, α-ethylidene-",0.0014193548387096,113.0,8.224314292692835,-2.9878963177821785,0.1176470588235294,8.224314292692835,11.0,0.1666169005673335,0.7782809486022882,60.5,61.5,78
2-Hexadecanone,0.0024838709677419,53.5,5.595582751497163,-10.86765487501622,0.1176470588235294,5.595582751497163,72.0,0.1666169005673335,0.7782809486022882,60.5,62.0,79
Tetradecane,0.003,38.5,5.227608137300101,-8.75310980231967,0.1176470588235294,5.227608137300101,87.0,0.1666169005673335,0.7782809486022882,60.5,62.0,80
Methional,0.0034355444305381,28.0,4.95072517167867,-10.189128942105128,0.1176470588235294,4.95072517167867,98.0,0.1666169005673335,0.7782809486022882,60.5,62.166666666666664,81
Phenol,0.0013191489361702,124.5,10.627466696348966,-16.037985973675237,0.1176470588235294,10.627466696348966,4.0,0.1666169005673335,0.7782809486022882,60.5,63.0,82
Phenol,0.0013191489361702,124.5,10.627466696348966,-16.037985973675237,0.1176470588235294,10.627466696348966,4.0,0.1666169005673335,0.7782809486022882,60.5,63.0,83
γ-Dodecalactone,0.0034838709677419,26.5,4.790582263033963,-9.010678389305252,0.1176470588235294,4.790582263033963,103.0,0.1666169005673335,0.7782809486022882,60.5,63.333333333333336,84
"2(3H)-Furanone, 5-heptyldihydro-",0.0034838709677419,26.5,4.773024328140666,-8.875191300094494,0.1176470588235294,4.773024328140666,105.0,0.1666169005673335,0.7782809486022882,60.5,64.0,85
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0024838709677419,53.5,5.487084194860474,-14.736876467702842,0.1176470588235294,5.487084194860474,78.0,0.1666169005673335,0.7782809486022882,60.5,64.0,86
Dimethyl trisulfide,0.0013191489361702,124.5,8.718575765843289,-11.919841548857166,0.1176470588235294,8.718575765843289,7.0,0.1666169005673335,0.7782809486022882,60.5,64.0,87
"Butanal, 3-methyl-",0.0013191489361702,124.5,8.661633520137054,0.1444515682846584,0.1176470588235294,8.661633520137054,8.0,0.1666169005673335,0.7782809486022882,60.5,64.33333333333333,88
"Propanal, 2-methyl-",0.0023191489361702,70.5,5.801972044795342,-14.468397829045418,0.1176470588235294,5.801972044795342,62.0,0.1666169005673335,0.7782809486022882,60.5,64.33333333333333,89
2-Butanone,0.0013191489361702,124.5,8.587881108888745,-3.130890768652651,0.1176470588235294,8.587881108888745,9.0,0.1666169005673335,0.7782809486022882,60.5,64.66666666666667,90
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",0.002,91.5,6.214020596632132,-16.47643604224467,0.1176470588235294,6.214020596632132,42.0,0.1666169005673335,0.7782809486022882,60.5,64.66666666666667,91
γ-Dodecalactone,0.0034838709677419,26.5,4.746331791457759,-8.689891586109118,0.1176470588235294,4.746331791457759,107.0,0.1666169005673335,0.7782809486022882,60.5,64.66666666666667,92
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",0.0015844155844155,103.0,6.368414751690076,-16.915336775236415,0.1176470588235294,6.368414751690076,31.0,0.1666169005673335,0.7782809486022882,60.5,64.83333333333333,93
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0.0024838709677419,53.5,5.377902687887497,-14.749258947664488,0.1176470588235294,5.377902687887497,81.0,0.1666169005673335,0.7782809486022882,60.5,65.0,94
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.0013191489361702,124.5,8.259426809960747,-11.59832778723136,0.1176470588235294,8.259426809960747,10.0,0.1666169005673335,0.7782809486022882,60.5,65.0,95
"Benzeneacetaldehyde, α-ethylidene-",0.0013191489361702,124.5,8.224314292692835,-2.9878963177821785,0.1176470588235294,8.224314292692835,11.0,0.1666169005673335,0.7782809486022882,60.5,65.33333333333333,96
Methional,0.0034355444305381,28.0,4.723274142425216,-0.7626598532852855,0.1176470588235294,4.723274142425216,108.0,0.1666169005673335,0.7782809486022882,60.5,65.5,97
"1-Isopropyl-4,7-dimethyl-1,2,3,5,6,8a-hexahydronaphthalene",0.0013191489361702,124.5,8.045098946896104,-10.101013046327523,0.1176470588235294,8.045098946896104,12.0,0.1666169005673335,0.7782809486022882,60.5,65.66666666666667,98
"Hexanoic acid, 2-ethyl-",0.0043874354883277,11.0,4.011683667611737,-5.378375426139766,0.1176470588235294,4.011683667611737,126.0,0.1666169005673335,0.7782809486022882,60.5,65.83333333333333,99
Dodecane,0.0023191489361702,70.5,5.6545406714525,-14.346869249250927,0.1176470588235294,5.6545406714525,68.0,0.1666169005673335,0.7782809486022882,60.5,66.33333333333333,100
"2,3-Pentanedione",0.0024285714285714,59.0,5.400061630237473,-0.8947050743139252,0.1176470588235294,5.400061630237473,80.0,0.1666169005673335,0.7782809486022882,60.5,66.5,101
"Butanal, 2-methyl-",0.0012765957446808,138.5,-24.950140365223326,-0.0571045332490057,0.1176470588235294,24.950140365223326,2.0,0.1666169005673335,0.7782809486022882,60.5,67.0,102
"Butanal, 2-methyl-",0.0012765957446808,138.5,-24.950140365223326,-0.0571045332490057,0.1176470588235294,24.950140365223326,2.0,0.1666169005673335,0.7782809486022882,60.5,67.0,103
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.0033191489361702,32.0,4.690396412088651,-5.471481968733981,0.1176470588235294,4.690396412088651,110.0,0.1666169005673335,0.7782809486022882,60.5,67.5,104
Caryophyllene,0.0013191489361702,124.5,7.070402700209163,-5.690450422591162,0.1176470588235294,7.070402700209163,19.0,0.1666169005673335,0.7782809486022882,60.5,68.0,105
Benzeneacetic acid,0.0043191489361702,13.0,3.856830053623925,-3.045765097382769,0.1176470588235294,3.856830053623925,131.0,0.1666169005673335,0.7782809486022882,60.5,68.16666666666667,106
