compound_name,matched_biomarker,match_score,match_method,Condiciones,Evidencia,Origen_probable,Volatilidad,Matriz,Metodo,Vinculo Microbio.,Confianza_origen,InChIKey,CID,Flag_contaminante,Match Quality,Est. Retention Time (min),Hit 1: Match Factor,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Excellent,1.9105666666666667,952,0.0,0.0,172790.0447075493,0.0,96618.98717900924,235688.29696753272,10773.678580980348,75433.79470495407,0.0,18721.496552277906,3212.226638960896,122724.79619553471,168869.8691463006,480402.90616972616,313920.6963408334,350058.6572533722,32720.41674255252
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Excellent,1.9105666666666667,909,0.0,127.75625241808882,173316.83767630014,0.0,96324.59094192371,235899.3692709349,10597.707004296148,75227.10892646233,0.0,18631.38464137088,5530.964220349657,122612.67009836464,169154.41842259455,481106.9578203599,314768.4954632279,350822.2534085666,33082.016394302
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0864,825,36500.49560752852,35690.659415674214,9137.263059685947,159223.13295010536,5671.501435264271,8161.575824952793,3193.765560117178,3373.275182887527,1239.9234711234574,1068.3925688360569,3267.288486361396,5984.138201432016,8228.864028109096,13688.406284769851,14908.306047086671,10456.73411589742,4776.144683654432
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0864,886,35782.683262249324,35260.4277784524,5117.607489177692,158530.32899286776,2956.214456836308,5260.336902405983,922.6420625353094,1563.1724440272374,1015.201999297172,621.3030155813371,2486.003067004094,3012.4449840254165,4513.535970422718,9369.83150023287,10766.00879681984,7432.61980545372,1230.029675563681
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.506266666666667,637,1804.8669661262657,2585.637654397464,4633.482238554659,5748.0130144784525,4352.777366154836,5130.186250381621,1223.7143533805363,2600.502565186472,60412.08382137623,1574.859675344448,3151.9678019697485,4873.92148438551,4860.921705383957,5939.988863255875,6528.6226276946,8608.6106216497,3980.809800825192
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Excellent,1.9105666666666667,952,0.0,0.0,172790.0447075493,0.0,96618.98717900924,235688.29696753272,10773.678580980348,75433.79470495407,0.0,18721.496552277906,3212.226638960896,122724.79619553471,168869.8691463006,480402.90616972616,313920.6963408334,350058.6572533722,32720.41674255252
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Excellent,1.9105666666666667,909,0.0,127.75625241808882,173316.83767630014,0.0,96324.59094192371,235899.3692709349,10597.707004296148,75227.10892646233,0.0,18631.38464137088,5530.964220349657,122612.67009836464,169154.41842259455,481106.9578203599,314768.4954632279,350822.2534085666,33082.016394302
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0864,825,36500.49560752852,35690.659415674214,9137.263059685947,159223.13295010536,5671.501435264271,8161.575824952793,3193.765560117178,3373.275182887527,1239.9234711234574,1068.3925688360569,3267.288486361396,5984.138201432016,8228.864028109096,13688.406284769851,14908.306047086671,10456.73411589742,4776.144683654432
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0864,886,35782.683262249324,35260.4277784524,5117.607489177692,158530.32899286776,2956.214456836308,5260.336902405983,922.6420625353094,1563.1724440272374,1015.201999297172,621.3030155813371,2486.003067004094,3012.4449840254165,4513.535970422718,9369.83150023287,10766.00879681984,7432.61980545372,1230.029675563681
"Propane, 2-methoxy-2-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.506266666666667,637,1804.8669661262657,2585.637654397464,4633.482238554659,5748.0130144784525,4352.777366154836,5130.186250381621,1223.7143533805363,2600.502565186472,60412.08382137623,1574.859675344448,3151.9678019697485,4873.92148438551,4860.921705383957,5939.988863255875,6528.6226276946,8608.6106216497,3980.809800825192
2-Butyl-3-(4-β-diethylaminoethoxybenzoyl)benzofuran,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.046933333333333,842,0.0,0.0,63051.825645773606,0.0,43616.468046805785,49556.73252540673,32130.820746507965,32724.472871485752,9.986547496961798,15278.579525734824,1701.0638178625268,43423.76300996131,51446.986895397626,69646.21442679921,46198.91180004234,49286.1276701207,50397.08020900285
Acetic acid ethenyl ester,Acetic Acid,0.0,derivative,TDAHAnsied.AutismBipolarDepres.PTSDEsquiz.,dataset_metabolomics text_mining_claim,Biológico microbiano,Mixto,fecal fecal; plasma fecal; serum fecal; tissue fecal; tissue; bile plasma serum; bile serum; tissue unknown,GC|LC,Si,Alta,-,-,No,Good,2.046933333333333,820,95.92019720887583,108.15023204233506,62544.090906087775,126.77918616928446,43502.56903079086,49199.00781333511,32047.20111250909,32487.688704958546,0.0,14877.31637776622,1160.6736192523404,43244.62902815032,51225.59340971104,68571.97306068827,45746.63067683215,48499.69233664384,50359.41630656458
Tolycaine,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0541,873,0.0,0.0,49094.79645190409,0.0,41373.020235918186,41795.864909986565,30820.58822240964,28414.517832297945,0.0,13043.501348109115,1244.0012197379383,39035.06569138479,45045.72921945313,39780.26875971321,32313.503107954333,31559.169328402117,47720.45728613586
Tolycaine,,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Fair,2.2514833333333333,702,50487.98768206593,52505.84857192323,0.0,64889.61693507701,1412.963501125885,1005.0500418908352,1007.4720478710678,1087.771111379251,596.1066236920534,432.7609409574993,0.0,1858.0442229740213,2230.323114737831,2289.478929884257,2841.444671672823,1875.410796641172,2045.2232820581053
"Heptane, 2,2-dimethyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0612833333333334,873,4043.9132668306256,1754.8357459628694,126148.75635079847,4120.975943545012,25574.52139276197,73629.612529588,15345.56697024077,35359.261191351805,547.6115155884041,24692.27771642341,1298.5717984055557,41985.40382153064,58185.99328299049,202337.4456453431,120909.59783016102,141363.6564679148,23986.816088608004
n-Hexane,n-hexane,1.0,exact,Esquiz.,dataset_metabolomics,Desconocido,Desconocido,fecal; serum; tissue; bile serum; bile,-,Posible,Baja,-,-,No,Excellent,2.0612833333333334,949,1092.0892836979576,867.1118852121413,126181.82064127852,2179.855638626268,27991.03427052722,77716.40009588325,10175.949310018445,38619.76870870248,357.3383488178581,27813.018796833952,1328.8965714967258,44474.181367933175,60540.26531112393,208883.7093337695,124351.99972663193,147125.9627365021,20702.86027567041
n-Hexane,n-hexane,1.0,exact,Esquiz.,dataset_metabolomics,Desconocido,Desconocido,fecal; serum; tissue; bile serum; bile,-,Posible,Baja,-,-,No,Good,2.2766,812,47431.23519354092,49522.95927352812,1346.4648036988028,137381.1635180293,927.8814414596312,1289.9670458682176,1442.5814349567622,355.0824900171276,269.1285147362637,214.5971437927701,23736.182731046323,1725.0649987127586,2877.9858426103165,5080.345497132368,3994.63450980024,3311.0312533332235,1343.2612971985975
"Pentane, 3-methyl-",,0.0,no_match,Depres.,dataset_metabolomics,Desconocido,No-volatil,serum tissue,LC,Desconocido,Baja,-,-,No,Good,2.0612833333333334,890,0.0,0.0,126787.86676801751,0.0,25924.62330174582,74223.63598475124,11912.159480523194,35769.9380482774,350.68880400901435,24528.77368659949,804.4204140389761,42669.70735811856,59008.56243263359,201784.83821233996,121427.77570092432,141849.82903221672,23436.278063050948
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,919,0.0,31.768166094953813,39089.96569942612,0.0,56593.03454480037,74111.11548240721,65396.940025280295,39820.767240116336,0.0,6960.723490199272,5700.443874663718,59720.73763901886,45570.29481148301,60460.02028431974,53075.24876164639,62423.32617388774,79088.88758192377
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Excellent,1.8962,926,0.0,0.0,38993.65696648138,0.0,55955.458011122864,73785.55673011484,65386.9942359761,38989.638111348126,0.0,6052.180562702111,12775.823979657152,59221.90871636496,45252.88177567018,59625.93987076729,53207.92466907114,61879.47723727663,78626.41937361723
"Propanal, 2-methyl-",Propanal,0.0,derivative,Ansied.Esquiz.,dataset_metabolomics,Biológico humano,No-volatil,fecal fecal; csf; tissue fecal; serum; tissue fecal; tissue unknown,LC,Posible,Baja,NBBJYMSMWIIQGU-UHFFFAOYSA-N,-,No,Good,2.0792166666666665,863,73267.19276049318,68150.30149860104,40986.88637556321,77528.57650425672,50665.9115565582,45532.36922886319,19589.63734229365,36781.60740665462,0.0,15965.725328327784,3986.4969913759937,46042.1569242962,43902.86185278434,53533.59704673405,17838.177524152303,32298.75202266477,28813.42076113254
