metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value
Decanal,-0.09568606349752429,-3.6272737295128255,5.244433011695648,-4.631558747720905,0.11764705882352941
Tetradecane,-0.13074187935729084,-4.898708249766046,5.227608137300101,-8.75310980231967,0.11764705882352941
"Pentadecafluorooctanoic acid, pentadecyl ester",-0.18761536581575483,-6.91467464103507,5.203811481313628,-11.292194971951801,0.11764705882352941
n-Decanoic acid,-0.08908364129130117,-3.095148141654199,5.118704138196116,-6.366588537705862,0.11764705882352941
Tridecane,-0.08247440963024452,-2.851260720968447,5.111509627255378,-4.93640109122716,0.11764705882352941
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",-0.2096578165658017,-7.189053650166,5.099693353352539,-13.192010224380994,0.11764705882352941
"2-Hexadecene, 3,7,11,15-tetramethyl-, [R-[R*,R*-(E)]]-",-0.2020959043277595,-6.882627905600313,5.0898475333083875,-12.651457662172684,0.11764705882352941
Heptadecane,-0.1252438515143056,-4.247138402096142,5.0836794486176995,-7.5287899759509305,0.11764705882352941
Octadecane,-0.14275506981382455,-4.737094529296636,5.0523885835767395,-8.23552300960536,0.11764705882352941
Pentadecane,-0.14867041252414143,-4.916740933290295,5.047512885175525,-8.515621390899042,0.11764705882352941
"2-Propanethiol, 2-methyl-",-0.055541567918971746,-1.78110814526579,5.00306342704248,-2.102025885385554,0.18349490352664355
"2-Decenal, (E)-",-0.18965556611031642,-6.0487198691428,4.995176236572125,-3.402704115074358,0.11764705882352941
Methional,-0.5350929915408142,-16.548020070128473,4.95072517167867,-10.189128942105128,0.11764705882352941
2-Pentanone,-0.15132591136292498,-4.530573736337158,4.90396282417066,-3.463961633034352,0.11764705882352941
"2H-Indol-2-one, 1,3-dihydro-",-0.21328681653340856,-6.33001141021653,4.891341407578061,-11.191989111546997,0.11764705882352941
2-Tridecanone,-0.16504203579236493,-4.679420855534283,4.82542456819629,-7.843929450598109,0.11764705882352941
"Guanidine, methyl-",0.11438284057319359,3.1794830889300574,4.796849679300035,2.2660639340939213,0.11764705882352941
γ-Dodecalactone,-0.17185012035833,-4.756185626055975,4.790582263033963,-9.010678389305253,0.11764705882352941
"Tetradecane, 2-methyl-",-0.1518316812838716,-4.188392503195352,4.7858518949563935,-7.201223126169223,0.11764705882352941
"2(3H)-Furanone, 5-heptyldihydro-",-0.1707602663828086,-4.668854222341,4.773024328140666,-8.875191300094494,0.11764705882352941
Pentadecane,-0.15713405451311357,-4.223626270272687,4.748414407212935,-7.223792192026661,0.11764705882352941
γ-Dodecalactone,-0.16962829430050325,-4.552883432334987,4.7463317914577585,-8.689891586109118,0.11764705882352941
Methional,-0.0418525773338924,-1.1055270979344656,4.723274142425216,-0.7626598532852855,0.11764705882352941
"Acetic acid, trifluoro-, 3,7-dimethyloctyl ester",-0.2156732823809943,-5.657207488695059,4.713170720399885,-7.625104359277565,0.11764705882352941
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",-0.8620682939297916,-22.258284212467192,4.690396412088651,-5.471481968733981,0.11764705882352941
trans-β-Ocimene,-0.8362660904908961,-21.357226579286674,4.67461843944839,-5.329801866095927,0.11764705882352941
2-Propenal,-0.33942874135185247,-8.210722953932198,4.596328624612813,-2.271286831739901,0.11764705882352941
"2,3-Pentanedione",-0.2483355253748371,-5.5715151384505,4.48770715370372,-4.796478860431851,0.11764705882352941
"Dodecane, 2,6,11-trimethyl-",-0.20987810324383294,-4.685042497381676,4.480438578973195,-6.8592932648190414,0.11764705882352941
trans-β-Ionone,-0.16470273935720617,-3.5713438041344725,4.438530578060353,-6.775834443086198,0.11764705882352941
2-Pentadecanone,-0.2113174006427158,-4.473891481823473,4.404046795458407,-7.712183766318533,0.11764705882352941
"Propane, 1,3-dimethoxy-",0.08005200847489563,1.685228660977517,4.3958629301226715,1.9616040989445704,0.23529411764705882
1-Heptanol,-0.4181873680604472,-8.520123327382027,4.348652927597119,-3.6235957399231458,0.11764705882352941
Hexanal,-0.5052834368244227,-10.144756990477498,4.327497610161132,-4.569874378877957,0.11764705882352941
Hydrocinnamic acid,-0.07377814335172415,-1.4027035816516988,4.248872896498277,-2.4728144830207026,0.11764705882352941
2-Propenal,-0.3641370198164351,-6.874816806874942,4.238767950064661,-9.697462603430472,0.11764705882352941
Methional,-0.551110199990332,-10.110237379008767,4.19733223410239,-5.752924265867535,0.11764705882352941
"Benzeneacetaldehyde, α-ethylidene-",-0.20984484718710553,-3.697031884498017,4.1389725494759855,-7.132220496821487,0.11764705882352941
"1-Penten-3-one, 2-methyl-",-0.13390767512379825,-2.224259238383316,4.0540143962978314,-2.336787890547185,0.18349490352664355
n-Decanoic acid,-0.15859985073960584,-2.579439747837167,4.023594437634513,-4.295184514452991,0.11764705882352941
"Hexanoic acid, 2-ethyl-",-0.20093066455436404,-3.24103212422862,4.011683667611737,-5.378375426139766,0.11764705882352941
n-Hexane,-0.07680725769008924,-1.219635111035232,3.989063155072071,-2.275622451035663,0.11764705882352941
"1-Hexanol, 2-ethyl-",-0.15444570649935585,-2.285233848090836,3.887170142046749,-3.596792130630801,0.11764705882352941
"5-Thiazoleethanol, 4-methyl-",-0.17084463236789127,-2.502566952934306,3.872651848181283,-4.694750774457193,0.11764705882352941
"Benzeneacetaldehyde, α-ethylidene-",-0.21016805306124936,-3.069633009306958,3.86845089869782,-5.705365853937703,0.11764705882352941
Benzeneacetic acid,-0.1596191955166412,-2.312632632138098,3.8568300536239244,-3.0457650973827692,0.11764705882352941
"Indole-3-propionitrile, α-formamido-",-0.26844588436850925,-3.801946859765597,3.824035180661038,-2.8404007734755607,0.1527901179143042
2-Pentanone,-0.17851037983128043,-2.518046157289392,3.8182248661702416,-3.7059840230281624,0.11764705882352941
Benzaldehyde,-0.5808992938346011,-8.119573893272912,3.8050440394073872,-4.639496887129449,0.11764705882352941
Octanal,-0.2057749760325175,-2.826756242283142,3.7800080339467503,-0.892573516543833,0.11764705882352941
"Benzeneacetaldehyde, α-ethylidene-",-0.20010313841541774,-2.7038995045690264,3.7562258391137218,-5.298332098568657,0.11764705882352941
"Furan, 2,3-dihydro-",-0.062041687879196755,-0.8328722054236875,3.746785327923843,-1.647477575709445,0.11764705882352941
α-acorenol,-0.2642712674121616,-3.5203943154503223,3.735645554359863,-4.574956183927598,0.11764705882352941
2-Propenal,-0.4775176146674324,-6.296275369443792,3.7208727843364486,-6.556310333848533,0.11764705882352941
Toluene,-0.44026935718394516,-5.572684415813411,3.6619141170514595,-3.0342927464906446,0.1527901179143042
"2,6-Diphenylpyridine",-0.6504524006303842,-8.072294889860013,3.633463489561484,-2.5843613504308345,0.18349490352664355
"2-Butenal, (E)-",-0.06829506707656159,-0.8401896841633903,3.620861809805573,-1.6733916118267862,0.11764705882352941
"(1R,3E,7E,11R)-1,5,5,8-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",-0.3037634462640026,-3.4289796177094582,3.496759156093145,-3.5600802075813744,0.11764705882352941
"Ethanol, 2-nitro-, propionate (ester)",-0.6566439285436508,-6.019414921618185,3.196440095400125,-2.5569987972275623,0.18349490352664355
"Benzeneacetaldehyde, α-ethylidene-",-0.39660738839985715,-3.615069443488333,3.18823990515776,-3.1801412573990637,0.11764705882352941
"5-Hepten-2-one, 6-methyl-",-0.3271379283797354,-2.8664819666521417,3.1313102664911767,-3.4888585692147607,0.11764705882352941
2-Pentanone,-0.15020234854803918,-1.3157597073137093,3.1309167712179353,-0.9033145484975572,0.11764705882352941
Acetone,-0.33809088610518234,-2.9368228981348024,3.1187732407005,-3.950492140540443,0.11764705882352941
"Butanal, 3-methyl-",-0.43539520142568694,-3.629519864865694,3.059381302709813,-2.5347030507425865,0.11764705882352941
3-Carene,-0.12826534182495591,-1.0563609248659565,3.0418995496249512,-0.6477183373095421,0.11764705882352941
N-Dimethylaminomethyl-tert.-butyl-isopropylphosphine,-0.4515839679416662,-3.5726993933612565,2.9839483597610816,-1.6430781432056412,0.21782989900919358
Acetic acid ethenyl ester,-0.36236987340180943,-2.8495889317795293,2.975218898265945,-3.879860351416739,0.11764705882352941
Dimethyl trisulfide,-1.475140564727574,-11.436732484556112,2.9547505895341524,-2.2235534627178843,0.11764705882352941
Toluene,-0.45827225702004964,-3.470137763212481,2.9207160858435506,-1.247254811342374,0.1527901179143042
3-Carene,-0.39450784513022485,-2.9468406333465254,2.901043149173694,-2.2218571042551387,0.11764705882352941
D-Limonene,-0.11957792665495816,-0.8702018843468375,2.863399049781103,-1.5339120828036272,0.255663988430083
"Benzene, 1-methyl-3-(1-methylethyl)-",-0.5170491876368666,-3.7321468691546,2.851632325460323,-1.4907293944149036,0.23529411764705882
Dimethyl sulfone,-0.4939078137685005,-3.559624973986669,2.849411558004618,-2.2345845522818997,0.11764705882352941
"2,3-Pentanedione",-0.2958788580247127,-2.080520225719486,2.81386579996333,-1.8769200949055318,0.11764705882352941
"Caryophylla-4(12),8(13)-dien-5α-ol",-0.4912360824301299,-3.3440317071345027,2.7671000901920175,-2.0218597722819243,0.21782989900919358
"Propane, 2-methoxy-2-methyl-",-0.49468381788276844,-3.259691056741408,2.720156627432205,-2.316933031134273,0.18349490352664355
"1,3,5-Cycloheptatriene, 3,7,7-trimethyl-",-1.797644239665722,-11.791960920374931,2.7136242093950784,-1.5120007083541855,0.23529411764705882
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.2601318230460989,-1.6470602455619008,2.6625785247795486,-1.0496720351740854,0.11764705882352941
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.3641173674998395,-2.2722847589843567,2.6416681851369583,-2.5824892514261077,0.11764705882352941
"Propanal, 2-methyl-",-0.8020437193201803,-4.5428902865138365,2.5018576802646972,-2.3096759898985693,0.11764705882352941
Isobutylene epoxide,-0.1695218253375846,-0.9496433449023576,2.4859147656850684,-1.4586847031726815,0.255663988430083
"2,3-Pentanedione",-0.35011100453127697,-1.929908212982156,2.4626479237540435,-1.5597877991382754,0.11764705882352941
