compound_name,hit_match_factor,match_quality,retention_time,cluster,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
"Furan, 2,3-dihydro-",922,Excellent,2.552916666666667,1,10.234919930569973,10.731978622490567,10.430673751266744,11.888614557985749,17.12987635828688,17.462111196208312,15.87670074289771,16.703697953161328,9.711292797630072,14.55164441437157,14.02679064427226,12.172940749107818,16.16028235197752,17.053614349780453,16.54361645266546,16.06899487146907,10.020832558207417
"2-Butenal, (E)-",927,Excellent,2.552916666666667,1,10.726202587840804,11.071412957657152,10.815033079909774,12.048978161043031,17.104918716645933,17.43866223543794,15.839142294600636,16.676464994672813,9.750582877133542,14.345871487756009,14.52287455448128,10.71377662098251,16.100194775939798,16.998763769211887,16.495050065716608,14.90047805244972,10.361494260687572
"2-Butenal, (E)-",939,Excellent,2.552916666666667,1,12.28200486244879,12.206994115120803,13.433298367836958,9.455737464493764,17.034862510235318,17.171095189340694,15.840258151235451,16.09118524038552,9.629737447530331,14.592413628226756,9.298635768416345,17.349066725645784,16.160322131912803,17.077630312704937,16.530800332916098,16.121505637355735,16.317483041105493
"Butanal, 3-methyl-",895,Good,2.6139333333333337,1,11.947040232176429,11.84864011711572,11.833201424048845,11.554328258975616,18.000624578718636,18.532946500400566,18.47593183469053,17.8448634093591,10.397655305502116,14.026847325798569,14.87162569488705,11.248130268484896,17.48007974877777,17.041601841379613,17.905073497267757,12.378923981058389,11.8673455439362
"Butanal, 3-methyl-",880,Good,2.6139333333333337,1,12.280722009390436,11.814031969636014,11.773426123385711,11.594156471729582,17.99417937669078,18.526620510601944,17.20713703519648,17.83884693675584,8.17349551988782,9.130893020654636,15.05948361521012,11.172732427491248,12.832035963385238,12.89346638578304,17.184928569646086,11.820263151443848,11.834693281990049
"Butanal, 3-methyl-",891,Good,2.6139333333333337,1,9.96031378298319,9.78808198410791,10.835941094625174,11.760987602315897,18.025868769941763,18.55049371866,17.561069488973036,17.880945253441816,0.0,0.0,13.884782191244406,9.59799820765813,13.52700611472865,13.634383438646248,17.517801059189782,11.44047394176516,10.434861899351873
"Propane, 1,3-dimethoxy-",810,Poor/No match,2.6211166666666665,1,12.333808380457745,12.18882131345834,11.944356714298726,12.75561240065744,11.123418363282674,11.036711766067883,10.211415120167704,11.403199840908435,13.344767870756666,9.765972995442777,13.71185929641165,11.45767135592487,10.99518504246357,10.570991163338311,11.390993063966318,11.18681121055106,11.850028359164805
"Butanal, 3-methyl-",871,Good,2.6534,1,10.039407612314564,10.40947524878073,10.628914439471025,10.660805773517572,17.900347772792877,18.43320880230235,18.40745596951362,17.746798191082952,8.713196505556798,15.02822628927088,14.39520980753414,14.007604284596514,17.825883902064568,18.41561499314124,17.813784015023025,18.168187649848782,12.004061859394108
"Butanal, 2-methyl-",786,Fair,2.7287666666666666,1,11.199009272185831,11.059530258256531,11.719891557244678,12.65491302020071,15.84135348931034,16.37482241795403,16.049887305159633,15.720181355678932,13.935174165156752,12.94451988661607,13.9178874706037,11.813209222529531,15.5777831263831,16.108097091311745,15.49064528636199,15.860970651343656,12.409802654432877
"Butanal, 3-methyl-",777,Excellent,2.757483333333333,1,18.470420142929648,18.38917076682448,17.80277714506625,18.43874848904112,13.206518677212824,13.37655661926611,14.01875499276079,12.484509825460918,0.0,0.0,12.894295969075468,18.425289049606484,13.896238603403676,15.664757199605818,13.372840384262837,17.129811615116097,18.801384275943207
