metabolite,mean_c0,mean_c1,log2fc,effect_size,p_value,p_adjusted,significant
Hexanal,0.5280562529609741,-0.6379460067933176,,2.7815422364161466,0.19037680243463959,0.2470471064151835,False
Hexanal,-0.4702949019412887,0.08734125945424213,,-0.565505849715738,0.19037680243463959,0.2470471064151835,False
Hexanal,-0.06189055994154907,0.4609759136454089,,-7.727030092492625,0.19037680243463959,0.2470471064151835,False
"Acetic acid, methoxy-",-0.7248310523226862,1.4556785835397323,,-2.4571675826520005,0.22963825788470327,0.2797776155014507,False
Methional,-0.7488514434309285,0.6652537954137946,,-3.661853365972245,0.01447981019775965,0.035508779449592756,True
Heptanal,-0.6357070704060438,0.5032420571863481,,-1.5996856503130084,0.15107180883637075,0.2056050471480363,False
Heptanal,-0.6497598622746484,0.35770093102659384,,-1.4930080137951196,0.15107180883637075,0.2056050471480363,False
Methional,-2.4840494659499766,0.14660586767815614,,-1.0977992798434284,0.01447981019775965,0.035508779449592756,True
Methional,-2.389586225097786,0.13245427066320636,,-1.1261412863888958,0.01447981019775965,0.035508779449592756,True
Methional,1.007430246798792,-0.4181849528583489,,1.8732967061962364,0.01447981019775965,0.035508779449592756,True
"Tricyclo[2.2.1.0(2,6)]heptane, 1,3,3-trimethyl-",-2.123312103879086,0.8022154290234923,,-0.8559791377939893,0.32791527889958794,0.3644954693744423,False
Dimethyl sulfone,-1.6039163870103292,0.08170389752168813,,-0.987625984384907,0.016163494588165878,0.035508779449592756,True
Dimethyl sulfone,-0.8098647639753274,0.2112138194411158,,-9.483307810025032,0.016163494588165878,0.035508779449592756,True
"Bicyclo[3.1.1]hept-2-ene, 3,6,6-trimethyl-",0.3748242874897739,-0.6040329000282566,,1.72694920247482,0.6513227395137708,0.6805956716267493,False
Dimethyl sulfone,0.09836300832251196,-0.030652358231232812,,0.0916067704766197,0.016163494588165878,0.035508779449592756,True
"Bicyclo[3.1.0]hex-2-ene, 4-methyl-1-(1-methylethyl)-",1.4702702335169135,-0.04690810472308562,,0.6956260906992439,0.23223627472975858,0.2804931629852928,False
Benzaldehyde,-2.8134588990318243,0.14850168709156025,,-1.5316820794716313,0.015725054666416348,0.035508779449592756,True
Benzaldehyde,-0.5374426277091886,0.07547095004660559,,-1.2999728810395041,0.015725054666416348,0.035508779449592756,True
Dimethyl trisulfide,-0.5266042659595145,0.37742543446410864,,-2.976561271008558,0.03478749427722285,0.06142855002117199,False
Dimethyl trisulfide,-0.5263237402749881,0.37768246281481027,,-2.977238822195437,0.03478749427722285,0.06142855002117199,False
Dimethyl trisulfide,-6.75912826825956,0.35315587449263053,,-1.1005442973621844,0.03478749427722285,0.06142855002117199,False
Dimethyl trisulfide,0.3648871084221254,-0.05192288141630874,,1.5697390765666122,0.03478749427722285,0.06142855002117199,False
1-Heptanol,-0.7242058709074174,0.4587794229652409,,-1.237909535106149,0.12841346829037084,0.18186475965996682,False
1-Heptanol,-0.6301370347435769,0.40851157514750175,,-1.24908488952129,0.12841346829037084,0.18186475965996682,False
1-Heptanol,-2.6068828882242214,0.3227464316729924,,-0.8350319344493744,0.12841346829037084,0.18186475965996682,False
1-Heptanol,-0.49786543374222963,0.310161831821378,,-1.0630769778379312,0.12841346829037084,0.18186475965996682,False
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",-2.5052060951199886,0.06433428437598884,,-0.772012422073136,0.4263477291781518,0.46465240797150137,False
"Cyclohexene, 4-methylene-1-(1-methylethyl)-",-2.259602666654498,0.09366184324697015,,-0.8049561887672813,0.4263477291781518,0.46465240797150137,False
"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",-2.2088713181552646,0.13293690789131976,,-0.8209938481340655,0.4263477291781518,0.46465240797150137,False
Phenol,-0.6733440816647978,0.5104842444225465,,-3.7002417257145073,0.015725054666416348,0.035508779449592756,True
Phenol,-2.1966796474596224,0.5013390363750576,,-1.8458146376443534,0.015725054666416348,0.035508779449592756,True
Phenol,-0.08609190120070992,0.005837926813783823,,-0.10423612466729812,0.015725054666416348,0.035508779449592756,True
Phenol,-0.34286034025436884,0.20391546256689078,,-0.521766792712789,0.015725054666416348,0.035508779449592756,True
"5-Hepten-2-one, 6-methyl-",-1.4716897444591546,0.06010612252369903,,-3.169794273037881,0.015725054666416348,0.035508779449592756,True
"5-Hepten-2-one, 6-methyl-",-1.1529048359257126,0.21436843553722823,,-4.082327085344365,0.015725054666416348,0.035508779449592756,True
Octanal,-2.810510094078686,0.4806533630434175,,-0.7546304274611834,0.06297609934801505,0.10040189553197829,False
3-Carene,-1.048651386779927,0.5931298055141185,,-1.1256434853462163,0.05283594696110153,0.08620601872600776,False
3-Carene,0.2083914109389065,-0.37607850638286877,,3.359010045320885,0.05283594696110153,0.08620601872600776,False
Octanal,-0.41505501621422125,0.42352773420015816,,-2.26845044837972,0.06297609934801505,0.10040189553197829,False
3-Carene,0.10867782303630436,-0.4736250427940948,,7.70402974509911,0.05283594696110153,0.08620601872600776,False
Octanal,-0.2976061610419053,0.3833563937009797,,-1.1731105279327902,0.06297609934801505,0.10040189553197829,False
Octanal,-0.6641462051087749,0.4712684592277309,,-1.5029017345290947,0.06297609934801505,0.10040189553197829,False
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",-0.871231327740017,0.01622932194439299,,-10.826480674229781,0.009209681603968142,0.035508779449592756,True
"1-Hexanol, 2-ethyl-",-0.6365141927372584,0.31100893241154665,,-5.6075674816670285,0.008926329489511324,0.035508779449592756,True
"1-Hexanol, 2-ethyl-",-0.8158975219707569,0.8687543735036003,,-5.454883879397428,0.008926329489511324,0.035508779449592756,True
"1-Hexanol, 2-ethyl-",-1.0144683544499569,0.46566761414571767,,-4.926026431567895,0.008926329489511324,0.035508779449592756,True
"1-Hexanol, 2-ethyl-",-0.8357589749746136,0.12671440242781068,,-15.25436287825126,0.008926329489511324,0.035508779449592756,True
Benzeneacetaldehyde,-0.5447493118998993,0.46962334112903426,,-2.3262655731397763,0.007741877024846629,0.035508779449592756,True
Benzeneacetaldehyde,0.6162456492148968,-0.04902012558565856,,10.892001153743594,0.007741877024846629,0.035508779449592756,True
p-Cresol,-1.1255152194340317,0.009829786316439415,,-6.036373055535581,0.008127515489292213,0.035508779449592756,True
p-Cresol,-0.7847258314045554,0.133807802979394,,-6.455758076793205,0.008127515489292213,0.035508779449592756,True
2-Nonanone,-0.8867382043236897,0.10556852906314855,,-4.944198542181315,0.008127515489292213,0.035508779449592756,True
Nonanal,-0.30384805943736354,0.17663436668901655,,-0.8624380212140033,0.03744058509340718,0.0639339572744416,False
Nonanal,-0.8724748476315484,0.8569795529171964,,-2.8395710272503547,0.03744058509340718,0.0639339572744416,False
Phenylethyl Alcohol,-1.0347400103349758,0.12419411607990741,,-7.5123143960990095,0.008127515489292213,0.035508779449592756,True
Phenylethyl Alcohol,-1.0397276164776081,0.12564520129355686,,-7.535716921354088,0.008127515489292213,0.035508779449592756,True
"Phenol, 4-ethyl-",-0.9503290178351121,0.19877531726834144,,-5.403201103860436,0.008127515489292213,0.035508779449592756,True
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1α,2β,5α)-(ñ)-",-0.8948828681293254,0.24847889143892243,,-4.540025842869111,0.008127515489292213,0.035508779449592756,True
"Ethanol, 2-(2-butoxyethoxy)-",-2.0383256232614904,1.5471072536772923,,-2.2184415124463293,0.033041200375886814,0.060647992795213296,False
Methyl salicylate,-0.9541568860830534,0.28217523540650646,,-6.158587307171878,0.010409879206759102,0.035508779449592756,True
Dodecane,-0.9020883186570182,0.14301602808630853,,-5.611451628377603,0.01447981019775965,0.035508779449592756,True
"3-Dodecene, (E)-",-0.8521719454358014,0.3583361163860687,,-5.011412539988467,0.015725054666416348,0.035508779449592756,True
Decanal,-0.2617911984221947,0.09213962797741615,,-0.8053977190173994,0.45783336177161427,0.4912904151318476,False
"1H-Pyrrole-2,5-dione, 3-ethyl-4-methyl-",-0.9826423821756094,0.1984598723463963,,-6.186413285168078,0.01447981019775965,0.035508779449592756,True
Benzeneacetic acid,-1.2292062947624478,0.1777292217473482,,-3.869672481267146,0.010409879206759102,0.035508779449592756,True
"2-Decenal, (E)-",-1.9145132468187493,0.4464781895338401,,-0.9557991036544572,0.09442022319630207,0.1393822342421602,False
"2-Decenal, (E)-",-0.1131587688810492,0.36876927401363024,,-0.7119154704619116,0.09442022319630207,0.1393822342421602,False
"2-Decenal, (E)-",-0.33393322310043294,0.4107086078006933,,-1.072612963576192,0.09442022319630207,0.1393822342421602,False
"Dodecane, 2,6,11-trimethyl-",-1.1815262274724465,0.14286484882647943,,-6.181461915223092,0.010409879206759102,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-2.044087255925703,0.7627313023111671,,-1.3178612243400718,0.015725054666416348,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-0.9898025307999292,1.2245919005859631,,-12.34463620778024,0.015725054666416348,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-0.6383633077359132,0.3152864753364747,,-50.89979050381547,0.015725054666416348,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-0.9444304447478283,0.02407608821338656,,-7.433979848962838,0.015725054666416348,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-0.9842632952024704,0.0423886268786014,,-9.764749894279964,0.015725054666416348,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-1.7664978420859618,0.05719882730874567,,-1.4885948016498398,0.015725054666416348,0.035508779449592756,True
"Benzeneacetaldehyde, α-ethylidene-",-0.8796607769596555,0.015454968730871937,,-7.395115987963568,0.015725054666416348,0.035508779449592756,True
"5-Thiazoleethanol, 4-methyl-",-0.9881885028312678,0.11451109329021125,,-10.624299204333992,0.012619651968786677,0.035508779449592756,True
Nonanoic acid,-1.1316296683446088,0.22870730537074038,,-3.2930706510997996,0.010409879206759102,0.035508779449592756,True
Indole,-0.871394828530011,0.15343776441313467,,-4.311287709184868,0.008127515489292213,0.035508779449592756,True
Tridecane,-0.9240594452675737,0.2161470884036214,,-4.715847881291384,0.015725054666416348,0.035508779449592756,True
2-Undecanol,-0.9572011887573267,0.33095254567360977,,-5.400682565930615,0.01447981019775965,0.035508779449592756,True
"1-Octanol, 2-butyl-",-1.1318853818101855,0.22050408160181317,,-3.9044908484169283,0.012619651968786677,0.035508779449592756,True
n-Tridecan-1-ol,-0.8503918678613767,0.34371799432098954,,-4.593840170424985,0.012619651968786677,0.035508779449592756,True
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",-0.7930986335766761,0.3418813257802828,,-6.63730392533657,0.015725054666416348,0.035508779449592756,True
"Dodecane, 2,6,10-trimethyl-",-0.7230085802030656,0.4802041178572291,,-5.990908716820696,0.008127515489292213,0.035508779449592756,True
"Dodecane, 2,6,10-trimethyl-",-0.7187629124663626,0.4963732495597172,,-5.9596730681832355,0.008127515489292213,0.035508779449592756,True
Hydrocinnamic acid,-0.7250655956827575,0.10206005117480274,,-3.690733972920454,0.02044534603793764,0.04210793214664641,True
α-Cubebene,-1.0986741475097563,0.48488535166473323,,-2.6808236889878128,0.010409879206759102,0.035508779449592756,True
"4-Methylcatechol, 2TMS derivative",-0.8723894859766133,0.12569664034627243,,-4.3447428434017565,0.015725054666416348,0.035508779449592756,True
"1,2,4-Metheno-1H-indene, octahydro-1,7a-dimethyl-5-(1-methylethyl)-, [1S-(1α,2α,3aβ,4α,5α,7aβ,8S*)]-",-0.9877144559410977,0.6649256048112949,,-2.8442112539635085,0.015725054666416348,0.035508779449592756,True
