compound_name,hit_match_factor,match_quality,retention_time,Exp_1.CDF,Exp_2.CDF,Exp_3.CDF,Exp_4.CDF,Exp_5.CDF,Exp_6.CDF,Exp_7.CDF,Exp_8.CDF,Exp_9.CDF,Exp_10.CDF,Exp_11.CDF,Exp_12.CDF,Exp_13.CDF,Exp_14.CDF,Exp_15.CDF,Exp_16.CDF,Exp_17.CDF
3-Carene,818,Good,14.8153,-0.3094793840056504,-3.5650612316528263,-0.3200649314612315,0.0,0.490645569130786,1.3517156177735343,0.33734170266015046,-3.5650612316528263,-1.0563609248659565,0.9781641961963579,-0.2238767455679456,0.24723218013084325,1.1721270122634335,0.6607288981810963,-0.42897032310922195,1.4615843037331093,-0.3392711018189037
3-Carene,823,Good,14.822483333333334,-0.3394255619011566,-0.9853456022939737,0.45123281870131127,0.5252890069445397,0.16668479269905193,0.2810240754408064,-1.2058040978414064,0.29708544667893366,-6.0201433673495455,-1.5600429846517279,0.11955746593445306,-0.23088855965365765,-0.7029145533210663,0.865007215224988,0.0,0.9636694672131759,-0.19879483370838474
3-Carene,829,Good,14.82965,0.13392120783893754,-0.04210842448916731,0.3691220113302824,0.3726308490755734,0.25770318928803,-0.061924581513493955,-0.14974142051478107,-3.654867391586578,-2.9468406333465254,-0.8988172080303042,0.2699612895760429,0.13544444524758795,-0.74229681071197,0.41470218441081425,-2.865945273184843,0.0,0.15009041118027225
Octanal,837,Good,14.8476,-0.29390190412633643,-1.0264677619319327,-0.30767288294388245,-0.03217751585473335,0.0,0.9852602350333851,-0.2674830036182489,0.4988683359237858,-1.7029492372017794,1.0573989212740529,-0.11627252426619764,0.09147123993220807,0.7402597194403258,0.27562431665294473,0.7060980958736636,1.4403030350127617,-0.7936552175995114
3-Carene,838,Good,14.948083333333331,0.0760883891992285,0.0,0.17871122021863362,0.17991168272735544,0.13004318711993326,-0.7010249347626959,-0.04831114833172221,-1.891844904331638,-1.4447076612084246,-0.8699568128800668,0.13649068715752602,0.07727124813825902,-1.1135145556781532,0.1979726874872688,-1.7605335418930963,-0.7325664167922766,0.0843698596516024
Octanal,877,Good,14.983966666666667,-0.7147650018125652,-0.9935846824336902,0.0720604906193487,0.4458645494592855,0.8358755339322141,0.1684262595333632,0.0,-0.9223945411972008,-2.051286585171942,0.19797369594097655,-0.41914744142710186,0.7739000056261104,-0.13944498322608964,2.0397738669364602,-0.5541354505407146,0.7444976505454487,-0.23330264173797144
Octanal,909,Excellent,14.983966666666667,-0.2038862540414326,-0.48563404311601566,0.49431364113121307,0.8324031336106171,1.1698204550837636,-0.03223591368247459,0.4065414829831089,-0.7260791919483782,-1.3563909146579052,-0.5450715578738748,0.0,1.1189623597086582,-0.6230703620777173,2.232600434138573,-0.505686358868787,0.1086932258344808,0.2036434717062349
Octanal,823,Good,14.983966666666667,-1.2861674826939073,-1.5249222116504226,-0.08981090431612045,0.24431577822535053,0.7866261556955827,0.0,-0.26794591258648304,1.134510463147282,-3.583635827744134,0.07424377343550487,-0.5533920512957959,0.6940679782802041,-0.2947558773769865,2.3964680782989873,0.9194065121870608,0.7022869421717195,-0.2977130578282805
D-Limonene,911,Excellent,15.6048,-0.8702018843468375,-0.8702018843468375,-0.8702018843468375,-0.15053358561586627,-0.8702018843468375,0.024983798530877184,0.0,0.9328440882171484,-0.8702018843468375,0.02140719860864868,-0.03287500959820433,0.12979811565316246,0.1546427850780452,0.10720632297630352,0.19468875834691146,0.2128374243392445,-0.02743918562825101
"Cyclohexanol, 1-methyl-4-(1-methylethenyl)-, acetate",928,Excellent,15.6048,-1.3894075586842571,-0.7339334878904696,-0.3154125917131295,-0.6341111222341314,0.0,0.05949681515023415,0.04308785914255653,2.938451541909334,-1.6470602455619008,-2.858829719273932,-2.858829719273932,0.2660665121095304,0.4248545257081371,0.16684507642605495,0.563344212827759,0.5570508581953934,-0.39078237113672865
